Country,Code,Year,Consumer price index (2010 = 100)
Canada,CAN,2004,89.86119
Canada,CAN,2005,91.85031
Canada,CAN,2006,93.68918
Canada,CAN,2007,95.69262
Canada,CAN,2008,97.96079
Canada,CAN,2009,98.25415
Canada,CAN,2010,100
Canada,CAN,2011,102.91213
Canada,CAN,2012,104.471954
Canada,CAN,2013,105.4522
Canada,CAN,2014,107.46279
Canada,CAN,2015,108.67201
Canada,CAN,2016,110.22467
Canada,CAN,2017,111.98483
Canada,CAN,2018,114.5249
Canada,CAN,2019,116.7573
Canada,CAN,2020,117.594444
Canada,CAN,2021,121.587006
Canada,CAN,2022,129.85832
Canada,CAN,2023,134.89554
Canada,CAN,2024,138.10818
France,FRA,2004,91.16472
France,FRA,2005,92.75634
France,FRA,2006,94.31012
France,FRA,2007,95.713455
France,FRA,2008,98.40575
France,FRA,2009,98.49197
France,FRA,2010,100
France,FRA,2011,102.111595
France,FRA,2012,104.107056
France,FRA,2013,105.00625
France,FRA,2014,105.53943
France,FRA,2015,105.57902
France,FRA,2016,105.77258
France,FRA,2017,106.864456
France,FRA,2018,108.842316
France,FRA,2019,110.04857
France,FRA,2020,110.572945
France,FRA,2021,112.38892
France,FRA,2022,118.258286
France,FRA,2023,124.02734
France,FRA,2024,126.506714
Germany,DEU,2004,91.049255
Germany,DEU,2005,92.4577
Germany,DEU,2006,93.91615
Germany,DEU,2007,96.07468
Germany,DEU,2008,98.599884
Germany,DEU,2009,98.90824
Germany,DEU,2010,100
Germany,DEU,2011,102.07517
Germany,DEU,2012,104.12534
Germany,DEU,2013,105.69214
Germany,DEU,2014,106.65055
Germany,DEU,2015,107.19919
Germany,DEU,2016,107.72633
Germany,DEU,2017,109.35246
Germany,DEU,2018,111.24663
Germany,DEU,2019,112.85487
Germany,DEU,2020,113.01838
Germany,DEU,2021,116.484276
Germany,DEU,2022,124.489746
Germany,DEU,2023,131.89244
Germany,DEU,2024,134.86859
Italy,ITA,2004,89.2016
Italy,ITA,2005,90.97251
Italy,ITA,2006,92.8746
Italy,ITA,2007,94.57397
Italy,ITA,2008,97.74015
Italy,ITA,2009,98.497406
Italy,ITA,2010,100
Italy,ITA,2011,102.78063
Italy,ITA,2012,105.90656
Italy,ITA,2013,107.198616
Italy,ITA,2014,107.457016
Italy,ITA,2015,107.4987
Italy,ITA,2016,107.39764
Italy,ITA,2017,108.714905
Italy,ITA,2018,109.95152
Italy,ITA,2019,110.6236
Italy,ITA,2020,110.47126
Italy,ITA,2021,112.54125
Italy,ITA,2022,121.77109
Italy,ITA,2023,128.6173
Italy,ITA,2024,129.8808
Japan,JPN,2004,100.69905
Japan,JPN,2005,100.41412
Japan,JPN,2006,100.66451
Japan,JPN,2007,100.72495
Japan,JPN,2008,102.115036
Japan,JPN,2009,100.73359
Japan,JPN,2010,100
Japan,JPN,2011,99.72755
Japan,JPN,2012,99.6836
Japan,JPN,2013,100.01758
Japan,JPN,2014,102.77729
Japan,JPN,2015,103.59466
Japan,JPN,2016,103.46282
Japan,JPN,2017,103.96379
Japan,JPN,2018,104.99209
Japan,JPN,2019,105.48427
Japan,JPN,2020,105.4579
Japan,JPN,2021,105.211815
Japan,JPN,2022,107.83969
Japan,JPN,2023,111.36404
Japan,JPN,2024,114.41378
United Kingdom,GBR,2004,86.31404
United Kingdom,GBR,2005,88.117256
United Kingdom,GBR,2006,90.28112
United Kingdom,GBR,2007,92.43573
United Kingdom,GBR,2008,95.69077
United Kingdom,GBR,2009,97.56797
United Kingdom,GBR,2010,100
United Kingdom,GBR,2011,103.85611
United Kingdom,GBR,2012,106.52857
United Kingdom,GBR,2013,108.96986
United Kingdom,GBR,2014,110.55114
United Kingdom,GBR,2015,110.958015
United Kingdom,GBR,2016,112.076935
United Kingdom,GBR,2017,114.94359
United Kingdom,GBR,2018,117.57906
United Kingdom,GBR,2019,119.62271
United Kingdom,GBR,2020,120.80636
United Kingdom,GBR,2021,123.84872
United Kingdom,GBR,2022,133.66006
United Kingdom,GBR,2023,142.74089
United Kingdom,GBR,2024,147.41077
United States,USA,2004,86.62168
United States,USA,2005,89.56053
United States,USA,2006,92.44971
United States,USA,2007,95.08699
United States,USA,2008,98.73748
United States,USA,2009,98.38642
United States,USA,2010,100
United States,USA,2011,103.156845
United States,USA,2012,105.291504
United States,USA,2013,106.83385
United States,USA,2014,108.56693
United States,USA,2015,108.695724
United States,USA,2016,110.06701
United States,USA,2017,112.41156
United States,USA,2018,115.1573
United States,USA,2019,117.244194
United States,USA,2020,118.6905
United States,USA,2021,124.26641
United States,USA,2022,134.21121
United States,USA,2023,139.7358
United States,USA,2024,143.85733